KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000045210	3.90709008517907	4.47055208173211	4.05196158852751	4.25236346364317	3.92979069805008	4.04282587290698	3.25910641973583	3.9704149012304	3.98742442269974	3.40658690280084	4.3450510940757	3.24225855637709
ENSMUSG00000097893	1.98140147406736	2.22175310560976	2.15028395528008	2.68412341983884	2.64963938242957	2.11456379922387	1.896944604818	1.99875944225673	1.96425684982785	2.6927084322605	2.65912375632021	2.21187384111614
ENSMUSG00000025915	2.46928956307888	3.53354643964611	3.74825599666078	3.40168949403381	3.63602574098648	3.3692207232091	3.01446278872431	3.20265215600598	2.60581545776814	3.28088697171123	3.07696657599985	3.47393731881169
ENSMUSG00000046101	1.67917078019497	1.28986457912331	2.01844421089367	2.18175192861965	1.71775085594312	1.74510234833773	1.68209348528142	1.06687091577029	1.03236832334141	1.76081990577406	1.20472842338242	1.27998531462969
ENSMUSG00000098234	6.33713042082163	5.67574949707457	6.52571977422492	5.57121735347254	6.0915303913098	5.49948135336473	6.45833136886176	5.74689034771141	5.81711052907946	5.88378961506683	5.996184544963	4.47541036196509
ENSMUSG00000093178	7.13697578883126	7.37732742037365	7.76064480984633	7.22533276172273	7.2873361379161	7.83256518958807	7.05251891958189	7.15433375702063	7.11983116459175	7.8482827470244	7.8146980710841	7.36744815588004
ENSMUSG00000025917	5.27931132777838	5.75608638859324	5.5956318536451	5.51305380190677	5.35790347871023	5.41504711550629	4.07781243905051	5.12867173674684	5.493243219977	5.00867841494505	5.37671166515452	5.58892320001726
ENSMUSG00000056763	2.50082683158587	3.57946813223954	2.51724055752691	1.80646749126214	2.35637568757073	2.36233136920877	1.23406119667524	2.98296219719587	2.31122231958281	2.92319638285557	2.37422130424014	2.55815183301993
ENSMUSG00000067851	3.75642318025937	3.8161160412902	3.79042224459744	3.92553966443823	3.92613944741044	3.57706168304633	3.44286654002825	3.5411575992783	3.17356416761425	3.79364490782596	3.1846560522561	3.4725134690458
ENSMUSG00000088153	6.30268652168552	5.91338032061386	6.29669771008654	5.76138566196294	5.82338903815631	5.80619101422798	6.30560922677197	5.69038665726084	5.65588406483196	7.05679656545449	5.82824416487297	5.90350105612024
ENSMUSG00000042501	1.90667291841397	1.08049030644912	1.80906993821948	0.928495647798194	1.50837658326893	1.53572807566354	1.47271921260723	1.50507104027894	0.822994050667212	1.04325840865479	0.995354150708227	1.0706110419555
