KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000067653	3.68202153671077	3.51813635545642	3.1380881717609	3.72254868489641
ENSMUSG00000079610	3.80591013097557	3.95124624418366	3.17216791939582	3.98503970622165
ENSMUSG00000026121	3.26211884626484	3.09985645668464	3.09230309869545	3.82222201221369
ENSMUSG00000087589	2.21769000552698	2.829598049347	2.5698453254873	2.660261015679
ENSMUSG00000046337	2.39973377405471	2.09320337568588	2.599901262396	2.79772650821787
ENSMUSG00000061518	6.37588240128762	6.21137666041701	7.02875220271282	6.75995651291039
ENSMUSG00000037351	5.85367909921692	5.71879824597455	5.32321586949448	5.88063428596883
ENSMUSG00000026117	2.13738188335858	2.18564962445048	2.72312118724924	2.39449077302648
ENSMUSG00000026116	3.75418280764277	3.9299387048187	3.49529206306796	4.13390558155982
ENSMUSG00000102930	4.37036295518263	4.03974228819939	4.53838194771271	4.25747597069382
ENSMUSG00000103159	2.98887307746348	2.89670922924811	2.86303166276418	3.14891834015624
ENSMUSG00000050122	1.51993780966296	1.39417567382452	1.05212947971982	1.43322463783121
ENSMUSG00000026113	3.50233085273585	4.10434375780287	3.88841423899648	3.48828834621198
ENSMUSG00000086064	4.34974818030523	3.98267465694127	4.10269305328445	4.44174439236581
ENSMUSG00000026112	6.23703708747855	5.30499970093171	5.98376913784863	5.35828589269483
ENSMUSG00000026111	7.03685022034252	7.25963688025077	6.32290847285715	6.87263139105153
ENSMUSG00000026110	5.73714515914452	6.07732662919466	5.19814117920652	5.94476625302238
ENSMUSG00000103948	2.61492555323298	3.38790265294065	2.64146447673196	3.59362961661699
ENSMUSG00000087233	3.6457827780547	3.50886068871191	3.04523172198622	3.62520671770721
ENSMUSG00000026090	1.59549859223755	2.12701572450733	1.28500191504336	2.17817402601372
ENSMUSG00000060771	2.43020501754249	2.52066886105909	2.65778381690183	2.25777614187714
ENSMUSG00000037216	3.44582369932621	4.01117448984378	3.52918077470331	3.30837835675677
ENSMUSG00000026088	4.82278529713151	4.29420487484507	4.76590901742411	3.95293666272354
ENSMUSG00000026087	5.15605639835647	4.793279558842	5.30265424975417	5.13526858738592
ENSMUSG00000058407	3.97427311557361	3.86346095899705	4.2748822490777	3.60462145777613
